datetime,open,high,low,close,volume,money,open_interest
2025-06-10 09:55:00,811.0,811.0,811.0,811.0,1,72990.0,36.0
2025-06-10 10:30:00,811.5,811.5,811.5,811.5,1,73035.0,36.0
2025-06-10 10:35:00,811.0,811.0,811.0,811.0,1,72990.0,37.0
2025-06-10 11:00:00,810.0,810.0,810.0,810.0,2,145800.0,35.0
2025-06-10 11:05:00,810.5,810.5,810.5,810.5,2,145890.0,34.0
2025-06-10 13:35:00,805.5,805.5,805.5,805.5,1,72495.0,33.0
2025-06-10 13:40:00,806.0,806.0,806.0,806.0,1,72540.0,33.0
2025-06-10 13:55:00,805.5,805.5,805.5,805.5,1,72495.0,34.0
2025-06-10 14:10:00,801.0,801.0,801.0,801.0,1,72090.0,34.0
2025-06-10 14:20:00,801.5,801.5,801.5,801.5,1,72135.0,34.0
2025-06-11 09:05:00,797.0,797.0,797.0,797.0,1,71730.0,34.0
2025-06-11 09:10:00,797.5,797.5,797.5,797.5,1,71775.0,35.0
2025-06-11 11:00:00,796.5,796.5,796.5,796.5,1,71685.0,35.0
2025-06-11 11:25:00,796.5,796.5,796.5,796.5,1,71685.0,35.0
2025-06-11 13:35:00,799.5,800.5,799.5,800.5,3,215955.0,36.0
2025-06-11 13:40:00,800.0,800.0,800.0,800.0,1,72000.0,37.0
2025-06-12 09:05:00,796.5,796.5,796.5,796.5,1,71685.0,38.0
2025-06-12 09:10:00,795.5,795.5,795.5,795.5,1,71595.0,39.0
2025-06-12 10:45:00,794.0,794.0,794.0,794.0,1,71460.0,40.0
2025-06-12 11:05:00,794.0,794.0,794.0,794.0,1,71460.0,40.0
2025-06-12 14:30:00,794.0,794.0,794.0,794.0,2,142920.0,42.0
2025-06-13 09:25:00,798.5,798.5,798.5,798.5,1,71865.0,42.0
2025-06-13 10:35:00,799.0,799.0,799.0,799.0,1,71910.0,42.0
2025-06-13 10:45:00,799.0,799.0,799.0,799.0,2,143820.0,42.0
2025-06-13 11:15:00,797.0,797.0,794.5,794.5,9,645075.0,51.0
2025-06-13 11:20:00,795.5,798.5,795.5,797.0,25,1791495.0,52.0
2025-06-13 11:25:00,797.0,797.0,794.5,795.5,26,1861785.0,60.0
2025-06-13 13:40:00,795.0,797.5,795.0,797.0,12,860265.0,62.0
2025-06-13 13:45:00,796.5,796.5,796.0,796.0,5,358245.0,66.0
2025-06-13 13:50:00,795.5,795.5,794.5,795.5,12,858555.0,70.0
2025-06-13 13:55:00,797.0,798.0,797.0,797.0,10,717615.0,71.0
2025-06-13 14:00:00,796.0,796.0,794.5,795.0,16,1145070.0,78.0
