datetime,open,high,low,close,volume,money,open_interest
2022-08-23 10:15:00,7183.4,7185.4,7182.2,7182.2,20.0,28733640.0,839.0
2022-08-23 10:20:00,7184.4,7193.8,7182.6,7191.8,19.0,27313480.0,839.0
2022-08-23 10:25:00,7191.8,7191.8,7176.6,7177.8,4.0,5743520.0,841.0
2022-08-23 10:30:00,7177.0,7178.0,7168.8,7177.2,42.0,60252160.0,849.0
2022-08-23 10:35:00,7177.2,7179.0,7165.2,7170.2,73.0,104702600.0,875.0
2022-08-23 10:40:00,7170.2,7174.4,7163.2,7172.2,81.0,116148800.0,910.0
2022-08-23 10:45:00,7172.4,7176.8,7170.0,7172.8,60.0,86075000.0,927.0
2022-08-23 10:50:00,7171.0,7172.4,7164.8,7167.8,62.0,88905360.0,962.0
2022-08-23 10:55:00,7167.0,7168.2,7160.0,7163.0,36.0,51585280.0,977.0
2022-08-23 11:00:00,7162.0,7164.0,7152.2,7152.2,39.0,55848280.0,992.0
2022-08-23 11:05:00,7155.4,7166.4,7153.2,7164.8,49.0,70177040.0,1020.0
2022-08-23 11:10:00,7165.4,7175.2,7164.2,7166.0,71.0,101788480.0,1064.0
2022-08-23 11:15:00,7170.8,7174.6,7165.2,7169.8,82.0,117566840.0,1127.0
2022-08-23 11:20:00,7163.6,7188.0,7163.2,7181.4,93.0,133457360.0,1203.0
2022-08-23 11:25:00,7180.6,7193.6,7180.6,7187.8,92.0,132254640.0,1282.0
2022-08-23 13:00:00,7190.8,7190.8,7182.0,7190.2,27.0,38803000.0,1300.0
2022-08-23 13:05:00,7189.2,7189.2,7175.8,7178.6,20.0,28730080.0,1301.0
2022-08-23 13:10:00,7181.2,7185.2,7178.2,7178.2,43.0,61755920.0,1334.0
2022-08-23 13:15:00,7185.4,7185.4,7178.4,7182.2,8.0,11491760.0,1338.0
2022-08-23 13:20:00,7180.0,7184.0,7170.4,7171.6,27.0,38758240.0,1351.0
2022-08-23 13:25:00,7178.4,7178.4,7171.0,7171.0,34.0,48776600.0,1370.0
2022-08-23 13:30:00,7171.0,7172.6,7164.8,7164.8,21.0,30112720.0,1380.0
2022-08-23 13:35:00,7169.8,7174.6,7169.0,7169.0,10.0,14342000.0,1389.0
2022-08-23 13:40:00,7167.0,7173.0,7167.0,7169.8,3.0,4301960.0,1391.0
2022-08-23 13:45:00,7169.8,7171.8,7165.0,7165.0,19.0,27238000.0,1409.0
2022-08-23 13:50:00,7161.8,7174.0,7161.8,7167.6,26.0,37282680.0,1427.0
2022-08-23 13:55:00,7170.2,7178.8,7170.2,7177.0,9.0,12915800.0,1433.0
2022-08-23 14:00:00,7173.2,7187.6,7173.2,7187.6,13.0,18665000.0,1441.0
2022-08-23 14:05:00,7188.0,7189.8,7185.8,7185.8,8.0,11500040.0,1443.0
2022-08-23 14:10:00,7185.8,7185.8,7178.4,7178.4,7.0,10055320.0,1448.0
2022-08-23 14:15:00,7178.4,7182.4,7178.0,7182.4,5.0,7180800.0,1452.0
2022-08-23 14:20:00,7180.0,7181.8,7177.2,7181.2,12.0,17230280.0,1456.0
2022-08-23 14:25:00,7182.8,7184.4,7182.8,7184.4,2.0,2873440.0,1458.0
2022-08-23 14:30:00,7184.4,7184.4,7176.2,7176.2,1.0,1435240.0,1458.0
2022-08-23 14:35:00,7176.6,7176.6,7176.6,7176.6,1.0,1435320.0,1459.0
2022-08-23 14:40:00,7176.6,7177.4,7169.0,7177.4,6.0,8607320.0,1464.0
2022-08-23 14:45:00,7180.8,7189.0,7180.8,7186.0,17.0,24436000.0,1463.0
2022-08-23 14:50:00,7185.6,7193.6,7184.0,7190.2,43.0,61817080.0,1489.0
2022-08-23 14:55:00,7196.0,7204.4,7196.0,7199.6,33.0,47528760.0,1497.0
2022-08-24 09:30:00,7214.4,7217.8,7178.0,7179.2,99.0,142477760.0,1444.0
2022-08-24 09:35:00,7176.4,7179.2,7162.0,7162.0,67.0,96121520.0,1428.0
2022-08-24 09:40:00,7160.8,7161.0,7129.8,7150.4,88.0,125772680.0,1412.0
2022-08-24 09:45:00,7160.0,7160.0,7144.2,7156.0,52.0,74383840.0,1440.0
2022-08-24 09:50:00,7156.8,7156.8,7135.4,7145.4,62.0,88647640.0,1470.0
2022-08-24 09:55:00,7142.8,7142.8,7117.0,7120.0,58.0,82705080.0,1485.0
2022-08-24 10:00:00,7119.8,7131.6,7110.0,7121.4,136.0,193701680.0,1540.0
2022-08-24 10:05:00,7118.2,7135.0,7105.6,7106.2,62.0,88284880.0,1572.0
2022-08-24 10:10:00,7108.0,7112.0,7081.6,7090.2,65.0,92289000.0,1613.0
2022-08-24 10:15:00,7092.0,7100.4,7080.0,7100.2,167.0,236787680.0,1682.0
2022-08-24 10:20:00,7091.8,7091.8,7070.8,7078.6,145.0,205331720.0,1758.0
2022-08-24 10:25:00,7070.4,7076.2,7048.0,7071.8,329.0,464851440.0,1971.0
2022-08-24 10:30:00,7071.6,7074.2,7046.6,7048.0,59.0,83304680.0,1991.0
2022-08-24 10:35:00,7041.8,7041.8,7010.2,7011.8,45.0,63247760.0,2018.0
2022-08-24 10:40:00,7010.2,7021.2,6996.4,7008.0,42.0,58882440.0,2037.0
2022-08-24 10:45:00,7002.4,7022.2,6994.2,6994.2,57.0,79961880.0,2062.0
2022-08-24 10:50:00,6998.4,7015.4,6995.0,7014.2,39.0,54640440.0,2078.0
2022-08-24 10:55:00,7017.4,7031.4,7008.2,7011.2,59.0,82839600.0,2090.0
2022-08-24 11:00:00,7014.2,7014.2,6994.8,6995.2,36.0,50464480.0,2108.0
2022-08-24 11:05:00,7009.2,7026.6,6998.8,6999.6,123.0,172602440.0,2191.0
2022-08-24 11:10:00,6997.2,7000.8,6977.2,6977.2,44.0,61538360.0,2223.0
2022-08-24 11:15:00,6982.8,6982.8,6972.2,6974.8,20.0,27902960.0,2225.0
